time,bot_react_y
0,0
0.01,-56.393961513077
0.02,-112.78142343006
0.03,-168.8912798361
0.04,-224.6502171392
0.05,-279.8072315033
0.06,-334.14834400928
0.07,-387.42697839913
0.08,-439.38449915061
0.09,-489.79205935997
0.1,-538.39841724152
0.11,-584.9510923664
0.12,-629.19265000099
0.13,-670.94953103133
0.14,-710.04963983019
0.15,-746.34347726656
0.16,-779.57411236867
0.17,-809.51855826442
0.18,-836.12796561767
0.19,-859.39671347592
0.2,-879.3799143387
0.21,-896.19272090397
0.22,-909.61097110331
0.23,-919.82164462318
0.24,-927.04826917323
0.25,-931.34782090186
0.26,-932.78508660469
0.267,-932.08944483613
0.274,-929.80288388335
0.28037,-926.13210735587
0.284829,-922.75362573643
0.289288,-918.7372717653
0.2950847,-912.61579633643
0.30262041,-903.26970078418
0.312416833,-888.7342437005
0.319416833,-876.91662868182
0.326416833,-864.03521154104
0.335516833,-845.90807840763
0.345516833,-824.60637616461
0.355516833,-802.23301676594
0.365516833,-779.07989222746
0.375516833,-755.51826310376
0.385516833,-731.79962848088
0.395516833,-708.06308052769
0.405516833,-684.54498805827
0.415516833,-661.42654790671
0.425516833,-638.85918449798
0.435516833,-616.94171037637
0.445516833,-595.72912621073
0.455516833,-575.28257402469
0.465516833,-555.58415243706
0.475516833,-536.71383389615
0.485516833,-518.6056248298
0.495516833,-501.28508800073
0.505516833,-484.65600600778
0.515516833,-468.76410633327
0.525516833,-453.57140417474
0.535516833,-438.98194146804
0.545516833,-425.01496315758
0.555516833,-411.71925028555
0.565516833,-398.84125015076
0.575516833,-386.57793829772
0.585516833,-374.81227374764
0.595516833,-363.52844013881
0.605516833,-352.64505387391
0.615516833,-342.40516014177
0.625516833,-332.50431587499
0.635516833,-322.90073060886
0.645516833,-313.75091828036
0.655516833,-304.81806127538
0.665516833,-296.27987106229
0.675516833,-288.19455076568
0.685516833,-280.44805191839
0.695516833,-273.03750148879
0.705516833,-265.70557320627
0.715516833,-258.70673280013
0.725516833,-252.09697386815
0.735516833,-245.76072329939
0.745516833,-239.64446610714
0.755516833,-233.80082469736
0.765516833,-227.88147238416
0.775516833,-222.18697840442
0.785516833,-216.78121401833
0.795516833,-211.65182508179
0.805516833,-206.81442003656
0.815516833,-202.2700440286
0.825516833,-197.87659671934
0.835516833,-193.65414480474
0.845516833,-189.60489631696
0.855516833,-185.60227491554
0.865516833,-181.78329739721
0.875516833,-178.09462528362
0.885516833,-174.49510823723
0.895516833,-171.07320187374
0.905516833,-167.82827860903
0.915516833,-164.7352302059
0.925516833,-161.75262666312
0.935516833,-158.72069242052
0.945516833,-155.79547894419
0.955516833,-152.99364151446
0.965516833,-150.30504960134
0.975516833,-147.71936482709
0.985516833,-145.2355663323
0.995516833,-142.85710645153
1,-141.8220706178
