time,bot_react_y
0,0
0.01,-56.393961810274
0.02,-112.78140530763
0.03,-168.89001354205
0.04,-224.64220473645
0.05,-279.77889074968
0.06,-334.06801398453
0.07,-387.23569715349
0.08,-438.9761694986
0.09,-488.95097495272
0.1,-536.73742887048
0.11,-581.94639769155
0.12,-624.16434507112
0.13,-662.85860739411
0.14,-697.74384239746
0.15,-728.62698832321
0.16,-755.03257364879
0.17,-775.65560731209
0.177,-786.3524705747
0.184,-794.14229812345
0.1931,-800.20831217723
0.2031,-801.90917518885
0.208,-800.80911103775
0.2129,-797.81759869243
0.217359,-793.47168564954
0.221818,-787.67042413878
0.2276147,-777.96760191767
0.232889697,-767.23170966419
0.238164694,-754.8043468201
0.24296494127,-742.19540486083
0.24776518854,-728.46371246625
0.254005509991,-708.95639774028
0.25968420251141,-690.03432372987
0.26536289503182,-670.27577853211
0.27053050522539,-651.86504841165
0.27569811541897,-633.22312914736
0.28241600867061,-608.75180861668
0.28852929152961,-586.58246795366
0.29464257438861,-564.72134236327
0.3025898421053,-536.84376017304
0.3095898421053,-513.17735282443
0.3165898421053,-490.48115549112
0.3256898421053,-462.31683964547
0.3326898421053,-441.87373282568
0.3396898421053,-422.53724436355
0.3487898421053,-398.92761488228
0.3587898421053,-375.0755616825
0.3687898421053,-353.37415931648
0.3787898421053,-333.68123201305
0.3887898421053,-315.6725149721
0.3987898421053,-299.12539280236
0.4087898421053,-283.99895311835
0.4187898421053,-269.9915526304
0.4287898421053,-257.18425280135
0.4387898421053,-245.35003455795
0.4487898421053,-234.45238123294
0.4587898421053,-224.33993099721
0.4687898421053,-215.15629856558
0.4787898421053,-206.55539692566
0.4887898421053,-198.65694306225
0.4987898421053,-191.24753521187
0.5087898421053,-184.22087277968
0.5187898421053,-177.88492714743
0.5287898421053,-171.98271905492
0.5387898421053,-166.4939593565
0.5487898421053,-161.3651347855
0.5587898421053,-156.26193457805
0.5687898421053,-151.55112154682
0.5787898421053,-147.22300478749
0.5887898421053,-143.15449909018
0.5987898421053,-139.38287033219
0.6087898421053,-135.97113907069
0.6187898421053,-132.50964811752
0.6287898421053,-129.26544753772
0.6387898421053,-126.27479423846
0.6487898421053,-123.50528781591
0.6587898421053,-120.93568702615
0.6687898421053,-118.37134427713
0.6787898421053,-115.93672511585
0.6887898421053,-113.63628959162
0.6987898421053,-111.46255275053
0.7087898421053,-109.27265166559
0.7187898421053,-107.06432627848
0.7287898421053,-104.96874635826
0.7387898421053,-103.00163634387
0.7487898421053,-101.14795046905
0.7587898421053,-99.400833368178
0.7687898421053,-97.749336663401
0.7787898421053,-96.191314404319
0.7887898421053,-94.712680494877
0.7987898421053,-93.316938067759
0.8087898421053,-91.997614359098
0.8187898421053,-90.746575640428
0.8287898421053,-89.563402588419
0.8387898421053,-88.443607764129
0.8487898421053,-87.383752265194
0.8587898421053,-86.367326826584
0.8687898421053,-85.371402794894
0.8787898421053,-84.384537971342
0.8887898421053,-83.389007927175
0.8987898421053,-82.429424077071
0.9087898421053,-81.43829769639
0.9187898421053,-80.416441254885
0.9287898421053,-79.439174894361
0.9387898421053,-78.503105959241
0.9487898421053,-77.607715303544
0.9587898421053,-76.748916594538
0.9687898421053,-75.925772064893
0.9787898421053,-75.135453757515
0.9887898421053,-74.376936725975
0.9987898421053,-73.648373486783
1,-73.562264288218
